frequency;V(/Sc1-) (phase);V(/Sc1-) (gain);V(/Sc2-) (phase);V(/Sc2-) (gain);
5956.62;-1.73335;-13.9607;-2.03524;-0.00100572;
6130.56;-1.78397;-13.9607;-2.09467;-0.00108778;
6309.57;-1.83606;-13.9607;-2.15582;-0.00117469;
6493.82;-1.88968;-13.9608;-2.21876;-0.00126675;
6683.44;-1.94486;-13.9608;-2.28354;-0.00136425;
6878.6;-2.00165;-13.9608;-2.35021;-0.00146752;
7079.46;-2.0601;-13.9608;-2.41883;-0.00157691;
7286.18;-2.12026;-13.9608;-2.48945;-0.00169277;
7498.94;-2.18218;-13.9609;-2.56213;-0.00181549;
7717.92;-2.24591;-13.9609;-2.63694;-0.00194547;
7943.28;-2.31149;-13.9609;-2.71392;-0.00208315;
8175.23;-2.379;-13.961;-2.79316;-0.00222897;
8413.95;-2.44847;-13.961;-2.87471;-0.00238344;
8659.64;-2.51998;-13.961;-2.95864;-0.00254704;
8912.51;-2.59357;-13.9611;-3.04502;-0.00272034;
9172.76;-2.66932;-13.9611;-3.13392;-0.00290389;
9440.61;-2.74728;-13.9611;-3.22542;-0.00309832;
9716.28;-2.82751;-13.9612;-3.31959;-0.00330425;
10000;-2.91009;-13.9612;-3.41651;-0.00352238;
10292;-2.99509;-13.9613;-3.51625;-0.00375343;
10592.5;-3.08257;-13.9613;-3.61891;-0.00399815;
10901.8;-3.1726;-13.9614;-3.72457;-0.00425737;
11220.2;-3.26527;-13.9614;-3.8333;-0.00453193;
11547.8;-3.36064;-13.9615;-3.94522;-0.00482275;
11885;-3.4588;-13.9615;-4.0604;-0.00513079;
12232.1;-3.55983;-13.9616;-4.17894;-0.00545707;
12589.3;-3.66382;-13.9617;-4.30094;-0.00580267;
12956.9;-3.77084;-13.9618;-4.4265;-0.00616872;
13335.2;-3.88099;-13.9618;-4.55572;-0.00655646;
13724.6;-3.99437;-13.9619;-4.68872;-0.00696714;
14125.4;-4.11106;-13.962;-4.8256;-0.00740215;
14537.8;-4.23116;-13.9621;-4.96647;-0.0078629;
14962.4;-4.35477;-13.9622;-5.11145;-0.00835094;
15399.3;-4.482;-13.9623;-5.26066;-0.00886787;
15848.9;-4.61295;-13.9624;-5.41423;-0.0094154;
16311.7;-4.74773;-13.9625;-5.57227;-0.00999535;
16788;-4.88645;-13.9627;-5.73493;-0.0106096;
