frequency,V(/Sc1-) (phase),V(/Sc1-) (gain),V(/Sc2-) (phase),V(/Sc2-) (gain),Column1,,,,
12.9569,-0.00382872,-0.024056557,-0.00452472,0.000730254,-0.00185672,,81.41060371,-6.68238E-05,-8.20851E-07
13.3352,-0.00394051,-0.024758955,-0.00465683,0.000730217,-0.001856557,,83.78753271,-6.87749E-05,-8.20778E-07
13.7246,-0.00405557,-0.025481898,-0.0047928,0.000730177,-0.001856424,,86.23420507,-7.0783E-05,-8.2072E-07
14.1254,-0.00417399,-0.026225953,-0.00493274,0.000730134,-0.00185677,,88.75250574,-7.28499E-05,-8.20872E-07
14.5378,-0.00429586,-0.026991684,-0.00507677,0.00073009,-0.001856248,,91.34369136,-7.49769E-05,-8.20642E-07
14.9624,-0.0044213,-0.027779847,-0.005225,0.000730042,-0.001856481,,94.01153184,-7.71662E-05,-8.20745E-07
15.3993,-0.00455039,-0.028590944,-0.00537755,0.000729992,-0.001856726,,96.7566555,-7.94193E-05,-8.20853E-07
15.8489,-0.00468325,-0.029425728,-0.00553456,0.000729939,-0.001856445,,99.58157561,-8.17381E-05,-8.20729E-07
16.3117,-0.00481999,-0.03028489,-0.00569615,0.000729883,-0.001856594,,102.4894338,-8.41247E-05,-8.20795E-07
16.788,-0.00496073,-0.031169186,-0.00586246,0.000729823,-0.001856122,,105.4821149,-8.65811E-05,-8.20586E-07
17.2783,-0.00510557,-0.032079242,-0.00603363,0.00072976,-0.00185656,,108.5627607,-8.9109E-05,-8.2078E-07
17.7828,-0.00525464,-0.033015877,-0.00620979,0.000729693,-0.00185628,,111.7326277,-9.17108E-05,-8.20656E-07
18.3021,-0.00540806,-0.033979843,-0.00639109,0.000729623,-0.001856503,,114.9954858,-9.43885E-05,-8.20754E-07
18.8365,-0.00556596,-0.034971958,-0.00657768,0.000729548,-0.00185651,,118.35322,-9.71443E-05,-8.20758E-07
19.3865,-0.00572847,-0.035993039,-0.00676972,0.000729469,-0.00185632,,121.808972,-9.99807E-05,-8.20674E-07
19.9526,-0.00589572,-0.037043901,-0.00696736,0.000729385,-0.001856165,,125.3658832,-0.0001029,-8.20605E-07
20.5353,-0.00606786,-0.038125489,-0.00717077,0.000729296,-0.001856453,,129.0270952,-0.000105904,-8.20732E-07
21.1349,-0.00624502,-0.039238618,-0.00738012,0.000729202,-0.001856447,,132.7944931,-0.000108996,-8.2073E-07
21.752,-0.00642735,-0.040384231,-0.00759558,0.000729102,-0.001856171,,136.6718468,-0.000112178,-8.20608E-07
22.3872,-0.006615,-0.041563271,-0.00781732,0.000728997,-0.001856313,,140.6629261,-0.000115454,-8.2067E-07
23.0409,-0.00680813,-0.042776742,-0.00804554,0.000728885,-0.001856192,,144.7702443,-0.000118824,-8.20617E-07
23.7137,-0.00700689,-0.044025588,-0.00828041,0.000728767,-0.001856103,,148.9975714,-0.000122293,-8.20578E-07
24.4062,-0.00721146,-0.04531094,-0.00852213,0.000728642,-0.001856039,,153.3486772,-0.000125864,-8.20549E-07
25.1189,-0.00742199,-0.046633739,-0.00877091,0.000728509,-0.001856341,,157.8267034,-0.000129538,-8.20683E-07
25.8523,-0.00763867,-0.047995179,-0.00902695,0.000728369,-0.001855828,,162.4347915,-0.00013332,-8.20456E-07
26.6073,-0.00786167,-0.049396329,-0.00929046,0.000728221,-0.001856164,,167.1785964,-0.000137212,-8.20605E-07
27.3842,-0.00809118,-0.050838383,-0.00956165,0.000728064,-0.001856117,,172.0600031,-0.000141218,-8.20584E-07
28.1838,-0.00832739,-0.052322534,-0.00984076,0.000727898,-0.001855945,,177.0840381,-0.00014534,-8.20508E-07
29.0068,-0.00857049,-0.053849977,-0.010128,0.000727722,-0.001855951,,182.2550996,-0.000149583,-8.2051E-07
29.8538,-0.00882068,-0.055421967,-0.0104236,0.000727536,-0.001855767,,187.5769575,-0.00015395,-8.20429E-07
30.7256,-0.00907817,-0.057039824,-0.0107279,0.000727339,-0.001855823,,193.0546385,-0.000158444,-8.20454E-07
31.6228,-0.00934317,-0.058704868,-0.011041,0.000727131,-0.001855765,,198.6919123,-0.000163069,-8.20428E-07
32.5462,-0.0096159,-0.060418482,-0.0113632,0.000726911,-0.001855864,,204.4938056,-0.000167829,-8.20472E-07
33.4965,-0.00989659,-0.062182109,-0.0116949,0.000726678,-0.00185573,,210.4647166,-0.000172728,-8.20413E-07
34.4747,-0.0101855,-0.063997384,-0.0120362,0.000726431,-0.001855743,,216.6109285,-0.000177771,-8.20419E-07
35.4813,-0.0104828,-0.065865375,-0.0123875,0.000726171,-0.001855059,,222.9355828,-0.000182959,-8.20116E-07
36.5174,-0.0107887,-0.067787401,-0.012749,0.000725895,-0.001855552,,229.4455911,-0.000188298,-8.20334E-07
37.5837,-0.0111036,-0.069765976,-0.013121,0.000725603,-0.001855472,,236.1453516,-0.000193794,-8.20299E-07
38.6812,-0.0114277,-0.071802357,-0.0135039,0.000725295,-0.001855195,,243.0411475,-0.000199451,-8.20176E-07
39.8107,-0.0117612,-0.073897799,-0.0138979,0.000724969,-0.001855499,,250.1380053,-0.000205272,-8.20311E-07
40.9732,-0.0121045,-0.076054817,-0.0143034,0.000724624,-0.001855286,,257.4422082,-0.000211263,-8.20216E-07
42.1697,-0.0124578,-0.078274666,-0.0147208,0.00072426,-0.0018549,,264.9600394,-0.00021743,-8.20046E-07
43.401,-0.0128213,-0.080558604,-0.0151503,0.000723875,-0.001855111,,272.6965255,-0.000223774,-8.20139E-07
44.6684,-0.0131955,-0.082909772,-0.0155923,0.000723468,-0.001854655,,280.6598346,-0.000230305,-8.19937E-07
